name radeg dedeg plx e_plx rv e_rv pmra e_pmra pmde e_pmde
"TWA 1" 165.466291667 -34.7047305556 16.8 0.3 12.66 0.22 -69.27 0.87 -11.58 1.03
"TWA 2" 167.3075 -30.0277444444 21.6 1.3 10.98 0.03 -88.38 0.74 -19.19 0.89
"TWA 4" 170.522041667 -24.7777111111 22.3 2.3 9.25 0.69 -91.43 1.52 -31.75 1.05
"TWA 7" 160.625458333 -33.6711694444 29.0 2.1 12.13 0.2 -115.2 0.75 -20.19 0.75
"TWA 8A" 173.171929167 -26.8655527778 21.5 0.8 8.34 0.48 -87.1 0.8 -28.0 0.8
"TWA 8B" 173.17155 -26.8692027778 22.6 1.0 8.93 0.27 -86.5 0.9 -25.0 0.9
"TWA 11A" 189.004295833 -39.8695083333 13.7 0.3 7.212 0.7 -55.44 0.79 -23.28 0.74
"TWA 12" 170.27285 -38.7545861111 15.6 0.6 10.94 0.32 -66.24 0.47 -7.83 0.47
"TWA 13A" 170.321745833 -34.7792972222 18.0 0.7 10.8 0.4 -65.7 4.35 -12.8 4.1
"TWA 13B" 170.322691667 -34.7805083333 16.8 0.7 11.48 0.4 -67.3 4.77 -11.4 4.52
"TWA 14" 168.359254167 -45.3952083333 10.4 1.2 15.83 2.0 -43.9 1.4 -7.4 1.4
"TWA 15A" 188.5860375 -48.2537444444 9.1 1.7 11.2 2.0 -36.8 4.31 -10.7 4.18
"TWA 15B" 188.585304167 -48.2554416667 8.6 1.6 10.03 1.66 -35.8 4.61 -10.2 4.61
"TWA 23" 181.864070833 -32.7834027778 18.7 0.5 10.91 0.1 -73.63 0.7 -26.87 0.76
"TWA 32" 186.714020833 -33.2701527778 15.1 0.7 7.15 0.26 -61.6 4.9 -23.0 2.0
