Finding a fit for 1000 stars, with 100 walkers for 20000 steps.
Graphs will be plotted...
A table will be printed...
Each sample will have its paramaters made to be ascending...
Mean acceptance fraction: 0.065903
Autocorrelation time: [ 96.78223682  97.5828728   95.60525858  95.47787288  98.36312929
  95.29904559  91.63043089  96.58517769]
 ____ GROUP 1 _____ 
Modelled mean: -2.02839790191, modelled std: 9.52704396597
'True' mean: 0.0, 'true' std: 10.0
With 31.9414226824% of the stars
 ____ GROUP 2 _____ 
Modelled mean: 1.3327493601, modelled std: 6.17533714868
'True' mean: 20.0, 'true' std: 3.0
With 23.203239406% of the stars
 ____ GROUP 3 _____ 
Modelled mean: 22.0541325433, modelled std: 5.52036767671
'True' mean: 25.0, 'true' std: 5.0
With 51.3252287599% of the stars

Cumulative fractions for reference:
[0.0, 0.5, 0.75, 1.0]
Star #	Group 1	Group 2	Group 3
0	37.95%	48.25%	13.80%
1	64.13%	35.87%	 0.00%
2	67.53%	32.47%	 0.00%
3	84.48%	15.52%	 0.00%
4	36.90%	62.23%	 0.87%
5	45.28%	54.71%	 0.00%
6	43.77%	56.23%	 0.00%
7	36.68%	63.00%	 0.32%
8	28.20%	24.83%	46.98%
9	65.72%	34.28%	 0.00%
10	36.84%	62.38%	 0.77%
11	45.42%	54.58%	 0.00%
12	56.95%	43.05%	 0.00%
13	36.67%	62.92%	 0.41%
14	98.08%	 1.92%	 0.00%
15	51.29%	48.71%	 0.00%
16	91.54%	 8.46%	 0.00%
17	49.06%	50.94%	 0.00%
18	37.86%	59.22%	 2.92%
19	37.92%	58.95%	 3.13%
20	56.16%	43.84%	 0.00%
21	84.10%	15.90%	 0.00%
22	48.22%	51.78%	 0.00%
23	37.14%	62.75%	 0.12%
24	39.75%	60.23%	 0.02%
25	43.67%	56.32%	 0.00%
26	37.36%	45.43%	17.21%
27	36.67%	62.97%	 0.36%
28	38.43%	54.95%	 6.62%
29	 7.34%	 2.67%	89.99%
30	38.78%	61.19%	 0.03%
31	37.35%	61.00%	 1.65%
32	45.01%	54.99%	 0.00%
33	55.45%	44.55%	 0.00%
34	92.98%	 7.02%	 0.00%
35	94.79%	 5.21%	 0.00%
36	98.04%	 1.96%	 0.00%
37	55.72%	44.28%	 0.00%
38	53.43%	46.57%	 0.00%
39	53.84%	46.16%	 0.00%
40	37.77%	62.16%	 0.06%
41	22.34%	16.65%	61.01%
42	42.13%	57.87%	 0.01%
43	36.70%	62.82%	 0.49%
44	68.03%	31.97%	 0.00%
45	50.84%	49.16%	 0.00%
46	23.08%	17.59%	59.33%
47	80.73%	19.27%	 0.00%
48	38.09%	61.86%	 0.05%
49	36.74%	62.67%	 0.59%
50	47.13%	52.86%	 0.00%
51	96.18%	 3.82%	 0.00%
52	 5.00%	 1.37%	93.63%
53	37.51%	60.48%	 2.00%
54	56.96%	43.04%	 0.00%
55	45.87%	54.12%	 0.00%
56	28.74%	25.69%	45.57%
57	93.61%	 6.39%	 0.00%
58	36.72%	63.02%	 0.26%
59	36.68%	63.01%	 0.31%
60	77.95%	22.05%	 0.00%
61	38.52%	61.44%	 0.04%
62	39.30%	60.68%	 0.02%
63	60.13%	39.87%	 0.00%
64	37.19%	61.46%	 1.35%
65	39.03%	60.94%	 0.03%
66	16.47%	10.10%	73.43%
67	37.41%	62.50%	 0.09%
68	30.27%	28.27%	41.45%
69	56.09%	43.91%	 0.00%
70	46.57%	53.42%	 0.00%
71	20.75%	14.74%	64.51%
72	37.08%	62.80%	 0.13%
73	48.94%	51.05%	 0.00%
74	14.55%	 8.26%	77.18%
75	38.77%	61.20%	 0.03%
76	74.46%	25.54%	 0.00%
77	66.16%	33.84%	 0.00%
78	51.29%	48.71%	 0.00%
79	38.37%	55.91%	 5.72%
80	38.75%	61.22%	 0.03%
81	37.53%	62.40%	 0.08%
82	37.76%	47.24%	15.00%
83	44.82%	55.18%	 0.00%
84	82.66%	17.34%	 0.00%
85	37.51%	62.41%	 0.08%
86	74.70%	25.30%	 0.00%
87	60.32%	39.68%	 0.00%
88	39.95%	60.03%	 0.02%
89	37.87%	59.18%	 2.95%
90	36.59%	42.58%	20.84%
91	36.69%	63.01%	 0.30%
92	38.27%	50.54%	11.20%
93	38.01%	48.61%	13.38%
94	36.67%	62.93%	 0.40%
95	39.19%	60.79%	 0.03%
96	46.37%	53.62%	 0.00%
97	54.34%	45.66%	 0.00%
98	52.41%	47.59%	 0.00%
