Finding a fit for 200 stars, with 50 walkers for 5000 steps.
Graphs will be plotted...
A table will be printed...
Mean acceptance fraction: 0.307056
Star #	Group 1	Group 2	Group 3
0	99.22%	 0.78%	 0.00%
1	96.63%	 3.37%	 0.00%
2	99.62%	 0.38%	 0.00%
3	97.47%	 2.53%	 0.00%
4	99.33%	 0.67%	 0.00%
5	99.60%	 0.40%	 0.00%
6	99.81%	 0.19%	 0.00%
7	99.92%	 0.08%	 0.00%
8	98.83%	 1.17%	 0.00%
9	97.79%	 2.21%	 0.00%
10	99.95%	 0.05%	 0.00%
11	99.00%	 1.00%	 0.00%
12	99.96%	 0.04%	 0.00%
13	92.46%	 7.54%	 0.00%
14	99.93%	 0.07%	 0.00%
15	99.99%	 0.01%	 0.00%
16	99.77%	 0.23%	 0.00%
17	99.53%	 0.47%	 0.00%
18	94.69%	 5.31%	 0.00%
19	98.53%	 1.47%	 0.00%
20	99.78%	 0.22%	 0.00%
21	99.91%	 0.09%	 0.00%
22	98.64%	 1.36%	 0.00%
23	94.75%	 5.25%	 0.00%
24	92.89%	 7.11%	 0.00%
25	96.76%	 3.24%	 0.00%
26	56.53%	43.47%	 0.00%
27	99.78%	 0.22%	 0.00%
28	99.62%	 0.38%	 0.00%
29	99.87%	 0.13%	 0.00%
30	99.41%	 0.59%	 0.00%
31	99.81%	 0.19%	 0.00%
32	99.04%	 0.96%	 0.00%
33	99.80%	 0.20%	 0.00%
34	98.12%	 1.88%	 0.00%
35	98.99%	 1.01%	 0.00%
36	96.43%	 3.57%	 0.00%
37	84.78%	15.22%	 0.00%
38	99.31%	 0.69%	 0.00%
39	99.74%	 0.26%	 0.00%
40	99.85%	 0.15%	 0.00%
41	99.30%	 0.70%	 0.00%
42	93.97%	 6.03%	 0.00%
43	41.39%	58.61%	 0.00%
44	96.95%	 3.05%	 0.00%
45	97.36%	 2.64%	 0.00%
46	97.00%	 3.00%	 0.00%
47	97.94%	 2.06%	 0.00%
48	99.48%	 0.52%	 0.00%
49	99.97%	 0.03%	 0.00%
50	 0.10%	99.90%	 0.00%
51	 0.00%	100.00%	 0.00%
52	 0.00%	100.00%	 0.00%
53	 0.60%	99.40%	 0.00%
54	 0.15%	99.85%	 0.00%
55	 0.00%	100.00%	 0.00%
56	 0.00%	100.00%	 0.00%
57	 0.00%	100.00%	 0.00%
58	 0.00%	100.00%	 0.00%
59	 0.00%	100.00%	 0.00%
60	 0.00%	100.00%	 0.00%
61	 0.00%	100.00%	 0.00%
62	 0.00%	100.00%	 0.00%
63	 0.00%	100.00%	 0.00%
64	 1.04%	98.96%	 0.00%
65	 0.00%	100.00%	 0.00%
66	 2.28%	97.72%	 0.00%
67	 0.00%	100.00%	 0.00%
68	 0.02%	99.98%	 0.00%
69	 0.33%	99.67%	 0.00%
70	 0.00%	100.00%	 0.00%
71	35.23%	64.77%	 0.00%
72	 0.28%	99.72%	 0.00%
73	 0.00%	100.00%	 0.00%
74	 0.00%	100.00%	 0.00%
75	55.57%	44.43%	 0.00%
76	 0.08%	99.92%	 0.00%
77	 0.00%	100.00%	 0.00%
78	 0.00%	100.00%	 0.00%
79	 5.24%	94.76%	 0.00%
80	88.95%	11.05%	 0.00%
81	 0.00%	100.00%	 0.00%
82	 3.17%	96.83%	 0.00%
83	40.17%	59.83%	 0.00%
84	 0.00%	100.00%	 0.00%
85	 0.00%	100.00%	 0.00%
86	37.35%	62.65%	 0.00%
87	 0.01%	99.99%	 0.00%
88	 0.15%	99.85%	 0.00%
89	 0.00%	100.00%	 0.00%
90	 0.00%	100.00%	 0.00%
91	 0.54%	99.46%	 0.00%
92	 0.00%	100.00%	 0.00%
93	 0.00%	100.00%	 0.00%
94	 1.85%	98.15%	 0.00%
95	 0.00%	100.00%	 0.00%
96	 0.00%	100.00%	 0.00%
97	 0.02%	99.98%	 0.00%
98	 0.00%	100.00%	 0.00%
99	 0.03%	99.97%	 0.00%
100	 0.01%	99.99%	 0.00%
101	 0.33%	99.67%	 0.00%
102	 0.14%	99.86%	 0.00%
103	 0.00%	100.00%	 0.00%
104	 0.00%	100.00%	 0.00%
105	 0.04%	99.96%	 0.00%
106	 0.08%	99.92%	 0.00%
107	 0.20%	99.80%	 0.00%
108	 0.00%	100.00%	 0.00%
109	 0.00%	100.00%	 0.00%
110	 0.06%	99.94%	 0.00%
111	 0.73%	99.27%	 0.00%
112	 4.58%	95.42%	 0.00%
113	 0.03%	99.97%	 0.00%
114	16.06%	83.94%	 0.00%
115	 0.00%	100.00%	 0.00%
116	 0.00%	100.00%	 0.00%
117	 0.04%	99.96%	 0.00%
118	 0.00%	100.00%	 0.00%
119	 0.00%	100.00%	 0.00%
120	 0.00%	100.00%	 0.00%
121	 0.69%	99.31%	 0.00%
122	 0.00%	100.00%	 0.00%
123	 0.00%	100.00%	 0.00%
124	31.98%	68.02%	 0.00%
125	 0.50%	99.50%	 0.00%
126	 0.00%	100.00%	 0.00%
127	 0.00%	100.00%	 0.00%
128	 0.00%	100.00%	 0.00%
129	 0.00%	100.00%	 0.00%
130	88.98%	11.02%	 0.00%
131	 2.42%	97.58%	 0.00%
132	16.45%	83.55%	 0.00%
133	92.18%	 7.82%	 0.00%
134	 0.00%	100.00%	 0.00%
135	 0.00%	100.00%	 0.00%
136	 0.00%	100.00%	 0.00%
137	 0.02%	99.98%	 0.00%
138	 0.00%	100.00%	 0.00%
139	 0.34%	99.66%	 0.00%
140	 0.00%	100.00%	 0.00%
141	 0.00%	100.00%	 0.00%
142	 0.00%	100.00%	 0.00%
143	 0.67%	99.33%	 0.00%
144	 0.07%	99.93%	 0.00%
145	91.78%	 8.22%	 0.00%
146	13.58%	86.42%	 0.00%
147	 0.02%	99.98%	 0.00%
148	 0.00%	100.00%	 0.00%
149	 0.05%	99.95%	 0.00%
150	 0.00%	 0.00%	100.00%
151	 0.00%	 0.18%	99.82%
152	 0.00%	 0.01%	99.99%
153	 0.00%	 0.01%	99.99%
154	 0.00%	 0.02%	99.98%
155	 0.00%	 0.01%	99.99%
156	 0.00%	 0.01%	99.99%
157	 0.00%	 0.01%	99.99%
158	 0.00%	 0.08%	99.92%
159	 0.00%	 0.01%	99.99%
160	 0.00%	 0.14%	99.86%
161	 0.00%	 0.35%	99.65%
162	 0.00%	 0.01%	99.99%
163	 0.00%	 0.02%	99.98%
164	 0.00%	 0.04%	99.96%
165	 0.00%	 0.01%	99.99%
166	 0.00%	 0.01%	99.99%
167	 0.00%	 0.01%	99.99%
168	 0.00%	 0.04%	99.96%
169	 0.00%	 0.01%	99.99%
170	 0.00%	 0.02%	99.98%
171	 0.00%	 0.01%	99.99%
172	 0.00%	 0.02%	99.98%
173	 0.00%	 0.01%	99.99%
174	 0.00%	 0.01%	99.99%
175	 0.00%	 0.04%	99.96%
176	 0.00%	 0.01%	99.99%
177	 0.00%	 0.00%	100.00%
178	 0.00%	 0.01%	99.99%
179	 0.00%	 0.01%	99.99%
180	 0.00%	 0.01%	99.99%
181	 0.00%	 0.14%	99.86%
182	 0.00%	 0.00%	100.00%
183	 0.00%	 0.02%	99.98%
184	 0.00%	 0.01%	99.99%
185	 0.00%	 0.02%	99.98%
186	 0.00%	 0.01%	99.99%
187	 0.00%	 0.01%	99.99%
188	 0.00%	 0.10%	99.90%
189	 0.00%	 0.06%	99.94%
190	 0.00%	 0.03%	99.97%
191	 0.00%	 0.05%	99.95%
192	 0.00%	 0.01%	99.99%
193	 0.00%	 0.01%	99.99%
194	 0.00%	 0.02%	99.98%
195	 0.00%	 0.06%	99.94%
196	 0.00%	 7.54%	92.46%
197	 0.00%	 0.01%	99.99%
198	 0.00%	 0.01%	99.99%
199	 0.00%	 0.01%	99.99%
Success rate of  97.00%
 ____ GROUP 1 _____ 
True mean:      -20.00,  modelled mean:      -20.12  + 2.47  - 2.14
True std:        10.00,  modelled std:        11.67  + 2.01  - 1.51
True fraction:   25.00%, modelled fraction:   26.90% + 3.99% - 3.56%

 ____ GROUP 2 _____ 
True mean:       30.00,  modelled mean:       31.65  + 2.20  - 2.62
True std:        20.00,  modelled std:        16.48  + 2.17  - 1.62
True fraction:   50.00%, modelled fraction:   47.92% + 4.57% - 4.31%

 ____ GROUP 3 _____ 
True mean:      100.00,  modelled mean:       99.74  + 0.75  - 0.70
True std:         5.00,  modelled std:         4.96  + 0.55  - 0.49
True fraction:   25.00%, modelled fraction:   24.78% + 3.14% - 2.86%

